,country,pop_2021,area,pop_density,number_starbucks,sb_per_capita,sb_density
0,China,1425893465,9706961,147,2665,535044,3642
1,India,1407563842,3287590,431,0,0,0
2,United States,336997624,9372610,36,15003,22462,624
3,Indonesia,273753191,1904569,145,422,648704,4513
4,Pakistan,231402117,881912,267,0,0,0
6,Brazil,214326223,8515767,25,0,0,0
5,Nigeria,213401323,923768,237,0,0,0
7,Bangladesh,169356251,147570,1160,0,0,0
8,Russia,145102755,17098242,8,88,1648894,194298
9,Mexico,126705138,1964375,65,612,207034,3209
10,Japan,124612530,377930,328,1665,74842,226
11,Ethiopia,120283026,1104300,112,0,0,0
12,Philippines,113880328,342353,338,396,287576,864
13,Egypt,109262178,1002450,111,0,0,0
15,Vietnam,97468029,331212,296,0,0,0
14,DR Congo,95894118,2344858,42,0,0,0
16,Iran,87923432,1648195,54,0,0,0
17,Turkey,84775404,783562,109,474,178851,1653
18,Germany,83408554,357114,233,29,2876157,12314
19,Thailand,71601103,513120,140,388,184538,1322
20,United Kingdom,67281039,242900,278,975,69006,249
22,France,64531444,551695,117,94,686504,5869
21,Tanzania,63588334,945087,69,0,0,0
23,South Africa,59392255,1221037,49,0,0,0
24,Italy,59240329,301336,196,0,0,0
26,Myanmar,53798084,676578,80,0,0,0
27,Kenya,53005614,580367,93,0,0,0
29,South Korea,51830139,100210,517,1493,34715,67
28,Colombia,51516562,1141748,45,0,0,0
30,Spain,47486935,505992,94,91,521834,5560
31,Uganda,45853778,241550,196,0,0,0
32,Sudan,45657202,1886068,25,0,0,0
33,Argentina,45276780,2780400,16,111,407898,25048
34,Algeria,44177969,2381741,19,0,0,0
35,Iraq,43533592,438317,102,0,0,0
38,Ukraine,43531422,603500,66,0,0,0
36,Afghanistan,40099462,652230,63,0,0,0
37,Poland,38307726,312679,127,62,617866,5043
39,Canada,38155012,9984670,4,1219,31300,8190
40,Morocco,37076584,446550,84,0,0,0
41,Saudi Arabia,35950396,2149690,17,250,143801,8598
42,Angola,34503774,1246700,29,0,0,0
43,Uzbekistan,34081449,447400,77,0,0,0
44,Peru,33715471,1285216,26,96,351202,13387
45,Malaysia,33573874,330803,103,317,105911,1043
46,Yemen,32981641,527968,64,0,0,0
47,Ghana,32833031,238533,140,0,0,0
48,Mozambique,32077072,801590,41,0,0,0
49,Nepal,30034989,147181,208,0,0,0
50,Madagascar,28915653,587041,50,0,0,0
51,Venezuela,28199867,916445,31,0,0,0
52,Ivory Coast,27478249,322463,87,0,0,0
53,Cameroon,27198628,475442,59,0,0,0
56,North Korea,25971909,120538,216,0,0,0
55,Australia,25921089,7692024,3,0,0,0
54,Niger,25252722,1267000,21,0,0,0
57,Taiwan,23859912,36193,660,507,47060,71
58,Burkina Faso,22100683,272967,83,0,0,0
59,Mali,21904983,1240192,18,0,0,0
61,Sri Lanka,21773441,65610,333,0,0,0
60,Syria,21324367,185180,119,0,0,0
62,Malawi,19889742,118484,172,0,0,0
65,Chile,19493184,756102,26,8,2436648,94512
63,Zambia,19473125,752612,27,0,0,0
64,Romania,19328560,238391,82,34,568487,7011
66,Kazakhstan,19196465,2724900,7,0,0,0
67,Ecuador,17797737,276841,65,0,0,0
68,Guatemala,17608483,108889,164,10,1760848,10888
71,Netherlands,17501696,41850,420,69,253647,606
69,Chad,17179740,1284000,14,0,0,0
70,Somalia,17065581,637657,28,0,0,0
72,Senegal,16876720,196722,88,0,0,0
73,Cambodia,16589023,181035,93,0,0,0
74,Zimbabwe,15993524,390757,42,0,0,0
75,Guinea,13531906,245857,56,0,0,0
76,Rwanda,13461888,26338,523,0,0,0
77,Benin,12996895,112622,119,0,0,0
78,Burundi,12551213,27834,463,0,0,0
79,Tunisia,12262946,163610,76,0,0,0
80,Bolivia,12079472,1098581,11,0,0,0
81,Belgium,11611419,30528,382,30,387047,1017
82,Haiti,11447569,27750,417,0,0,0
85,Cuba,11256372,109884,102,0,0,0
83,Jordan,11148278,89342,126,30,371609,2978
84,Dominican Republic,11117873,48671,231,0,0,0
86,South Sudan,10748272,619745,18,0,0,0
88,Czech Republic,10510751,78865,133,40,262768,1971
87,Sweden,10467097,450295,23,0,0,0
90,Greece,10445365,131990,79,32,326417,4124
91,Azerbaijan,10312992,86600,120,0,0,0
92,Portugal,10290103,92090,112,13,791546,7083
89,Honduras,10278345,112492,93,0,0,0
93,Papua New Guinea,9949437,462840,22,0,0,0
95,Tajikistan,9750064,143100,70,0,0,0
94,Hungary,9709786,93028,107,31,313218,3000
96,Belarus,9578167,207600,46,0,0,0
97,United Arab Emirates,9365145,83600,113,220,42568,380
99,Austria,8922082,83871,107,17,524828,4933
98,Israel,8900059,20770,435,0,0,0
101,Switzerland,8691406,41284,212,0,0,0
100,Togo,8644829,56785,156,0,0,0
102,Sierra Leone,8420641,71740,120,0,0,0
104,Hong Kong,7494578,1104,6783,173,43321,6
103,Laos,7425057,236800,32,0,0,0
105,Serbia,7296769,88361,82,0,0,0
108,Bulgaria,6885868,110879,61,11,625988,10079
106,Nicaragua,6850540,130373,53,0,0,0
107,Libya,6735277,1759540,4,0,0,0
109,Paraguay,6703799,406752,17,0,0,0
110,Kyrgyzstan,6527743,199951,33,0,0,0
111,Turkmenistan,6341855,488100,13,0,0,0
112,El Salvador,6314167,21041,301,15,420944,1402
113,Singapore,5941060,710,8416,150,39607,4
115,Denmark,5854240,43094,136,0,0,0
114,Republic of the Congo,5835806,342000,17,0,0,0
120,Lebanon,5592631,10452,525,43,130061,243
118,Finland,5535992,338424,16,0,0,0
117,Central African Republic,5457154,622984,9,0,0,0
116,Slovakia,5447622,49037,115,6,907937,8172
121,Norway,5403021,323802,17,0,0,0
122,Liberia,5193416,111369,48,0,0,0
125,Costa Rica,5153957,51100,101,0,0,0
123,Palestine,5133392,6220,844,0,0,0
124,New Zealand,5129727,270467,19,26,197297,10402
126,Ireland,4986526,70273,71,52,95894,1351
127,Mauritania,4614974,1030700,5,0,0,0
128,Oman,4520471,309500,15,17,265910,18205
129,Panama,4351267,75417,58,0,0,0
130,Kuwait,4250114,17818,240,181,23481,98
131,Croatia,4060135,56594,71,0,0,0
132,Georgia,3757980,69700,54,0,0,0
133,Eritrea,3620312,117600,31,0,0,0
134,Uruguay,3426260,181034,19,0,0,0
135,Mongolia,3347782,1564110,2,0,0,0
138,Bosnia And Herzegovina,3270943,51209,63,0,0,0
137,Puerto Rico,3256028,8870,367,0,0,0
136,Moldova,3061506,33846,97,0,0,0
140,Albania,2854710,28748,99,0,0,0
141,Jamaica,2827695,10991,257,0,0,0
142,Armenia,2790974,29743,93,0,0,0
143,Lithuania,2786651,65300,42,0,0,0
145,Qatar,2688235,11586,233,46,58439,251
144,Gambia,2639916,10689,253,0,0,0
146,Botswana,2588423,582000,5,0,0,0
147,Namibia,2530151,825615,3,0,0,0
148,Gabon,2341179,267668,9,0,0,0
149,Lesotho,2281454,30355,76,0,0,0
150,Slovenia,2119410,20273,105,0,0,0
152,North Macedonia,2103330,25713,81,0,0,0
151,Guinea Bissau,2060721,36125,58,0,0,0
153,Latvia,1873919,64559,29,0,0,0
155,Equatorial Guinea,1634466,28051,60,0,0,0
156,Trinidad And Tobago,1525663,5130,298,0,0,0
157,Bahrain,1463265,765,1924,39,37519,19
159,Estonia,1328701,45227,29,0,0,0
158,Timor Leste,1320942,14874,90,0,0,0
160,Mauritius,1298915,2040,637,0,0,0
161,Cyprus,1244188,9251,135,0,0,0
162,Eswatini,1192271,17364,69,0,0,0
163,Djibouti,1105557,23200,48,0,0,0
164,Reunion,966129,2511,388,0,0,0
165,Fiji,924610,18272,51,0,0,0
166,Comoros,821625,1862,449,0,0,0
167,Guyana,804567,214969,4,0,0,0
168,Bhutan,777486,38394,20,0,0,0
169,Solomon Islands,707851,28896,25,0,0,0
170,Luxembourg,639321,2586,250,0,0,0
171,Montenegro,627859,13812,45,0,0,0
172,Suriname,612985,163820,4,0,0,0
173,Cape Verde,587925,4033,147,0,0,0
174,Western Sahara,565581,266000,2,0,0,0
175,Malta,526748,316,1688,0,0,0
176,Maldives,521457,300,1746,0,0,0
177,Brunei,445373,5765,78,1,445373,5765
178,Bahamas,407906,13943,29,13,31377,1072
179,Belize,400031,22966,18,0,0,0
180,Guadeloupe,396051,1628,243,0,0,0
181,Iceland,370335,103000,4,0,0,0
182,Martinique,368796,1128,326,0,0,0
183,Vanuatu,319137,12189,27,0,0,0
184,Mayotte,316014,374,872,0,0,0
185,French Guiana,297449,83534,4,0,0,0
186,Barbados,281200,430,655,0,0,0
187,Sao Tome And Principe,223107,964,236,0,0,0
188,Samoa,218764,2842,78,0,0,0
189,Saint Lucia,179651,616,292,0,0,0
190,Kiribati,128874,811,162,0,0,0
191,Grenada,124610,344,365,0,0,0
192,Micronesia,113131,702,163,0,0,0
193,Seychelles,106471,452,237,0,0,0
194,Tonga,106017,747,143,0,0,0
195,Saint Vincent And the Grenadines,104332,389,267,0,0,0
196,Antigua And Barbuda,93219,442,212,0,0,0
197,Andorra,79034,468,171,0,0,0
198,Dominica,72412,751,97,0,0,0
199,Greenland,56243,2166086,0,0,0,0
200,Saint Kitts And Nevis,47606,261,183,0,0,0
201,Marshall Islands,42050,181,230,0,0,0
202,Liechtenstein,39039,160,246,0,0,0
203,Monaco,36686,2,18235,0,0,0
204,San Marino,33745,61,552,0,0,0
205,Palau,18024,459,39,0,0,0
206,Nauru,12511,21,603,0,0,0
207,Tuvalu,11204,26,435,0,0,0
208,Vatican City,511,1,510,0,0,0
